Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\MHE_Tracker_V3_4LayerPCB\Project Outputs for MHE_Tracker_V3_4LayerPCB\Pick Place\Pick Place for MHE_Tracker_V3_4LayerPCB.csv

========================================================================================================================
File Design Information:

Date:       17-03-25
Time:       17:34
Revision:   8f77dc4fc88ee4996597ee48f49533ede0782f5a
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R40","ERP_101-1","TopLayer","RES_0603","1043.307","440.945","0","RES_0603"
"R39","ERP_101-1","TopLayer","RES_0603","718.504","1112.205","90","RES_0603"
"R38","ERP_101-1","TopLayer","RES_0603","797.244","1112.205","90","RES_0603"
"R23","ERP_101-1","TopLayer","RES_0603","797.244","521.653","270","RES_0603"
"R20","ERP_101-1","TopLayer","RES_0603","718.504","521.653","270","RES_0603"
"C6","ERP_102-1","TopLayer","CAPC1608X10N","875.984","521.653","90","MLCC 0603"
"R21","ERP_101-1","TopLayer","RES_0603","1692.914","285.433","0","RES_0603"
"R19","ERP_101-1","TopLayer","RES_0603","1604.331","206.693","180","RES_0603"
"Q2","ERP_105-1","TopLayer","MMBT2222","1437.008","246.063","270","MMBT2222A"
"J7","5033981892","TopLayer","5033981892","364.173","836.614","270","9 (8 + 1) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold"
"U11","FOD817A3SD","TopLayer","FOD817A3SD","2578.740","1102.362","90","OPTOISOLATOR 5KV TRANSISTOR 4SMD"
"SW4","ERP_110-4","TopLayer","ActiveBuzzer12MM","2746.063","1820.866","0","SWITCH SLIDE SPDT 200MA 30V"
"R68","ERP_101-1","TopLayer","RES_0603","2765.748","1289.370","180","RES_0603"
"R67","ERP_101-1","TopLayer","RES_0603","2775.591","1397.638","270","RES_0603"
"R66","ERP_101-1","TopLayer","RES_0603","2736.220","1043.307","90","RES_0603"
"R65","ERP_101-1","TopLayer","RES_0603","2696.850","1397.638","90","RES_0603"
"R64","ERP_101-1","TopLayer","RES_0603","2736.220","1181.102","90","RES_0603"
"Q3","ERP_105-1","TopLayer","MMBT2222","2893.701","1476.378","0","MMBT2222A"
"R54","ERP_101-1","TopLayer","RES_0603","2143.307","1466.535","0","RES_0603"
